name_model,classifier,run,task,accuracy,sensitivity,specificity,precision,recall,f1,kappa
GaussianNB_9_7,GaussianNB,9,7,0.6590909090909091,0.4782608695652174,0.8571428571428571,0.7857142857142857,0.4782608695652174,0.5945945945945946,0.32926829268292673
GaussianNB_10_7,GaussianNB,10,7,0.6363636363636364,0.30434782608695654,1.0,1.0,0.30434782608695654,0.4666666666666667,0.2945891783567134
GaussianNB_11_7,GaussianNB,11,7,0.5909090909090909,0.2608695652173913,0.9523809523809523,0.8571428571428571,0.2608695652173913,0.4,0.20641282565130262
GaussianNB_12_7,GaussianNB,12,7,0.75,0.6086956521739131,0.9047619047619048,0.875,0.6086956521739131,0.717948717948718,0.5061224489795919
GaussianNB_13_7,GaussianNB,13,7,0.6363636363636364,0.43478260869565216,0.8571428571428571,0.7692307692307693,0.43478260869565216,0.5555555555555555,0.28600405679513174
GaussianNB_14_7,GaussianNB,14,7,0.7045454545454546,0.5217391304347826,0.9047619047619048,0.8571428571428571,0.5217391304347826,0.6486486486486486,0.41869918699187
GaussianNB_15_7,GaussianNB,15,7,0.6818181818181818,0.4782608695652174,0.9047619047619048,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.3752535496957402
GaussianNB_16_7,GaussianNB,16,7,0.6363636363636364,0.391304347826087,0.9047619047619048,0.8181818181818182,0.391304347826087,0.5294117647058824,0.28888888888888886
GaussianNB_17_7,GaussianNB,17,7,0.6818181818181818,0.4782608695652174,0.9047619047619048,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.3752535496957402
GaussianNB_18_7,GaussianNB,18,7,0.7045454545454546,0.5652173913043478,0.8571428571428571,0.8125,0.5652173913043478,0.6666666666666667,0.416326530612245
GaussianNB_19_7,GaussianNB,19,7,0.7727272727272727,0.6956521739130435,0.8571428571428571,0.8421052631578947,0.6956521739130435,0.761904761904762,0.5482546201232033
GaussianNB_20_7,GaussianNB,20,7,0.7272727272727273,0.5652173913043478,0.9047619047619048,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.46232179226069253
SVC_1_7,SVC,1,7,0.6136363636363636,0.43478260869565216,0.8095238095238095,0.7142857142857143,0.43478260869565216,0.5405405405405405,0.2398373983739837
SVC_2_7,SVC,2,7,0.6818181818181818,0.6086956521739131,0.7619047619047619,0.7368421052631579,0.6086956521739131,0.6666666666666666,0.3675564681724845
SVC_3_7,SVC,3,7,0.6136363636363636,0.34782608695652173,0.9047619047619048,0.8,0.34782608695652173,0.48484848484848486,0.24596774193548382
SVC_4_7,SVC,4,7,0.6590909090909091,0.6956521739130435,0.6190476190476191,0.6666666666666666,0.6956521739130435,0.6808510638297872,0.31535269709543573
SVC_5_7,SVC,5,7,0.6363636363636364,0.5217391304347826,0.7619047619047619,0.7058823529411765,0.5217391304347826,0.6,0.280163599182004
SVC_6_7,SVC,6,7,0.6136363636363636,0.5652173913043478,0.6666666666666666,0.65,0.5652173913043478,0.6046511627906976,0.23045267489711943
SVC_7_7,SVC,7,7,0.6590909090909091,0.5652173913043478,0.7619047619047619,0.7222222222222222,0.5652173913043478,0.6341463414634146,0.3237704918032786
SVC_8_7,SVC,8,7,0.5227272727272727,0.6086956521739131,0.42857142857142855,0.5384615384615384,0.6086956521739131,0.5714285714285715,0.037499999999999985
SVC_9_7,SVC,9,7,0.6136363636363636,0.6521739130434783,0.5714285714285714,0.625,0.6521739130434783,0.6382978723404256,0.2240663900414939
